dcp,legpgi01,dcpaix21404401,dcppwr21137046,10.141.112.39,83,327,PGX PGX,F13,SCS33 DVEBMGS32,SMDA86,lincipgx3200 lincipgx3200,lincipgx3200,BLANK
dcp,legpgi01,dcpaix21404635,dcppwr19322687,10.141.112.41,17,327,PGD,H13 PGD,SCS05,SMDA98 JC04,linjipgd0400,linjipgd0400 linjipgd0400,BLANK
dcp,legpgi01,dcpaix21408733,dcppwr20164807,10.141.112.64,13,327,BLANK,H11,BLANK,SMDA91,BLANK,linjdpgd0400c4,PGD
dcp,legpgi01,dcpaix21408740,dcppwr21175799,10.141.112.62,51,327,BLANK,H15,BLANK,SMDA82,BLANK,lindbpgx3200c4,PGX
dcp,legpgn01,dcpaix21289331,dcppwr19322693,10.141.64.104,13,149,PGI,W30 PGI,SCS06,SMDA30 JC07,linjipgi0700,dcpaix21289331 linjipgi0700,BLANK
dcp,legpgn01,dcpaix21289337,dcppwr21091687,10.141.64.40,47,149,BLANK,H12,BLANK,SMDA81,BLANK,lindbpgh5900c4,PGH
dcp,legpgn01,dcpaix21289487,dcppwr21091687,10.141.64.42,13,149,BLANK,H36,BLANK,SMDA80,BLANK,lindbgpt2000c4,GPT
dcp,legpgn01,dcpaix21290035,dcppwr20164807,10.141.64.19,7,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,PGI
dcp,legpgn01,dcpaix21290383,dcppwr21137046,10.141.64.50,148,149,PGH,F11,DVEBMGS59,SMDA87,lincipgh5900,lincipgh5900,BLANK
dcp,legpgn01,dcpaix21290504,dcppwr21137046,10.141.64.52,14,149,GPT GPT,F30,DVEBMGS20 SCS21,SMDA88,lincigpt2000 lincigpt2000,lincigpt2000,BLANK
dcp,legpgn01,dcpaix21296602,dcppwr21091687,10.141.64.106,50,149,BLANK,W01,BLANK,SMDA98,BLANK,lincidd15600,BLANK
dcp,legpgn01,dcpaix21327933,dcppwr19322687,10.141.64.121,16,149,PN2 PNU,F83 E51 PN2,SCS44 DVEBMGS42,SMDA83 SMDA80 JC43,linjipn24300 lincipnu4200,linjipn24300 lincipnu4200 linjipn24300,BLANK
dcp,legpgn01,dcpaix21335701,dcppwr20164807,10.141.64.144,16,149,BLANK,H72,BLANK,SMDA79,BLANK,lindbpnu4200c4,PNU PN2
dcp,legpgn01,dcpaix21402615,dcppwr19322710,10.141.64.82,84,149,BLANK,C98,BLANK,SMDA98,BLANK,linlpcup98,BLANK
dcp,legpgn01,dcpaix21403359,dcppwr21137192,10.141.64.58,100,149,BLANK,C97,BLANK,SMDA97,BLANK,linlpcup97,BLANK
dcp,legpgn01,dcpaix21484304,dcppwr21175799,10.141.64.54,120,149,BLANK,H04 H07 H05,BLANK,SMDA34 SMDA32 SMDA70,BLANK,lindbp6e4500c4 lindbp8e4700c4 dbp7e46c,P7E P8E P6E
dcp,legpgn01,dcpaix21489540,dcppwr21175812,10.141.64.35,48,149,P6E,F04,DVEBMGS45,SMDA84,lincip6e4500,lincip6e4500,BLANK
dcp,legpgn01,dcpaix21517859,dcppwr21137046,10.141.64.182,80,149,P8E,F87,BLANK,SMDA58,BLANK,linapp8e1300,BLANK
dcp,legdgn01,dcpaix21517877,dcppwr21137046,10.141.64.184,35,149,MGB,BLANK,DVEBMGS13,BLANK,lincimgb1300,BLANK,BLANK
dcp,legpgn01,dcpaix21517880,dcppwr21175812,10.141.64.176,50,149,P8E,F88,BLANK,SMDA57,BLANK,linapp8e3100,BLANK
dcp,legpgn01,dcpaix21517960,dcppwr21137046,10.141.64.178,60,149,P8E,F07,DVEBMGS47,SMDA80,lincip8e4700,lincip8e4700,BLANK
dcp,legpgn01,dcpaix21518048,dcppwr21175812,10.141.64.138,40,149,P9E,F89,BLANK,SMDA57,BLANK,linapp9e2700,BLANK
dcp,legpgn01,dcpaix21518063,dcppwr21175812,10.141.64.135,50,149,P9E P9E,F90 F91,BLANK,SMDA55 SMDA54,BLANK,linapp9e6700 linapp9e6800,BLANK
dcp,legpgn01,dcpaix21518072,dcppwr21175812,10.141.64.174,47,149,P9E,F09,DVEBMGS24,SMDA72,lincip9e2400,lincip9e2400,BLANK
dcp,legpgn01,dcpaix21518136,dcppwr21175812,10.141.64.172,60,149,P9E,F92,BLANK,SMDA53,BLANK,linapp9e1200,BLANK
dcp,legpgn01,dcpaix21530150,dcppwr20164807,10.141.64.201,73,149,BLANK,H09,BLANK,SMDA33,BLANK,lindbp9e2400c4,P9E
dcp,legpgn01,dcpaix21540532,dcppwr19322710,10.141.64.188,20,149,P7E,F05,DVEBMGS46,SMDA82,lincip7e4600,lincip7e4600,BLANK
dcp,legpgn01,dcpaix21613970,dcppwr21175815,10.141.64.119,56,149,GCU,GCU DM8,SCS00,JC87 SMDA73,linjigcu8700,linjigcu8700 linjigcu8700,BLANK
dcp,legpgn01,dcpaix21618057,dcppwr21402010,10.141.65.23,62,149,BLANK,G74,BLANK,SMDA71,BLANK,linjdgcu8700c4,GCU
dcp,legpgn01,dcpaix21622728,dcppwr21402621,10.141.64.87,97,149,PGU,F12 H14,DVEBMGS83,SMDA82 SMDA39,lincipgu8300,lincipgu8300 lindbpgu8300c4,PGU
dcp,legpgn01,dcpaix21671692,dcppwr21402010,10.141.65.49,105,149,BLANK,H16,BLANK,SMDA38,BLANK,lindbprd0000c4,PRD PRD
dcp,legpgn01,dcpaix21674784,dcppwr21402621,10.141.64.228,12,149,BLANK,H38,BLANK,SMDA88,BLANK,lindbgp84800c4,GP8
dcp,legpgn01,dcpaix21674830,dcppwr21402621,10.141.64.78,100,149,BLANK,H03,BLANK,SMDA39,BLANK,lindbp2e6900c4,P2E
dcp,legpgn01,dcpaix21675091,dcppwr21402621,10.141.64.233,12,149,BLANK,H21,BLANK,SMDA21,BLANK,lindbzp28600c4,ZP2
dcp,legpgn01,dcpaix21677177,dcppwr21175821,10.141.65.17,120,149,PRD,F14,DVEBMGS00,SMDA76,linciprd0000,linciprd0000,BLANK
dcp,legpgn01,dcpaix21677762,dcppwr21175821,10.141.65.61,26,149,PRD,F94,BLANK,SMDA52,BLANK,linapprd4200,BLANK
dcp,legpgn01,dcpaix21677771,dcppwr21175821,10.141.65.55,200,149,PRD PRD PRD,F95 F93 F96,BLANK,SMDA51 SMDA52 SMDA40,BLANK,linapprd4300 linapprd4100 linapprd4400,BLANK
dcp,legpgn01,dcpaix21677935,dcppwr21175796,10.141.65.102,120,149,P2E,F03 F86,DVEBMGS69,SMDA85 SMDA58,lincip2e6900,lincip2e6900 linapp2e7700,BLANK
dcp,legpgn01,dcpaix21678048,dcppwr21175796,10.141.65.93,60,149,P2E,F85,BLANK,SMDA59,BLANK,linapp2e7000,BLANK
dcp,legpgn01,dcpaix21678051,dcppwr21175796,10.141.65.90,12,149,ZP2,F20,DVEBMGS86,SMDA28,lincizp28600,lincizp28600,BLANK
dcp,legpgn01,dcpaix21678066,dcppwr21175796,10.141.65.87,24,149,GP8,F32,DVEBMGS48,SMDA87,lincigp84800,lincigp84800,BLANK
dcp,legpgn01,dcpaix21700956,dcppwr21175818,10.141.65.99,110,149,P8B,F06,DVEBMGS55,SMDA82,lincip8b5500,lincip8b5500,BLANK
dcp,legpgn01,dcpaix21701794,dcppwr21175818,10.141.65.71,161,149,P9B,F08,DVEBMGS19,SMDA73,lincip9b1900,lincip9b1900,BLANK
dcp,legpgn01,dcpaix21702579,dcppwr21175818,10.141.65.69,87,149,BWP,F21,DVEBMGS70,SMDA98,lincibwp7000,lincibwp7000,BLANK
dcp,legpgn01,dcpaix21703025,dcppwr21402010,10.141.65.119,112,149,BLANK,H06,BLANK,SMDA34,BLANK,lindbp8b5500c4,P8B
dcp,legpgn01,dcpaix21703037,dcppwr21402010,10.141.65.47,87,149,BLANK,H25,BLANK,SMDA25,BLANK,lindbbwp7000c4,BWP
dcp,legpgn01,dcpaix21703789,dcppwr21402010,10.141.65.53,130,149,BLANK,H08,BLANK,SMDA33,BLANK,lindbp9b1900c4,P9B
dcp,legpgn01,dcpaix21763100,dcppwr21175793,10.141.65.156,112,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,PCB
dcp,legpgn01,dcpaix21763124,dcppwr21175793,10.141.65.147,109,149,BLANK,H01,BLANK,SMDA96,BLANK,lindbp1b3700c4,P1B
dcp,legpgn01,dcpaix21763134,dcppwr21175793,10.141.65.152,12,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,PGV
dcp,legdgn01,dcpaix21763143,dcppwr21175793,10.141.65.154,12,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,GQL
dcp,legpgn01,dcpaix21764051,dcppwr21175802,10.141.65.160,132,149,P1B,F01,DVEBMGS37,SMDA74,lincip1b3700,lincip1b3700,BLANK
dcp,legpgn01,dcpaix21764063,dcppwr21175802,10.141.65.169,12,149,PGV,BLANK,DVEBMGS80,BLANK,lincipgv8000,BLANK,BLANK
dcp,legpgn01,dcpaix21764078,dcppwr21175802,10.141.65.158,190,149,PCB,F10,DVEBMGS98,SMDA71,lincipcb9800,lincipcb9800,BLANK
dcp,legpgn01,dcpaix21798448,dcppwr21695550,10.141.65.165,382,149,BLANK,H31,BLANK,SMDA71,BLANK,lindbgpb6100c4,GPB
dcp,legpgn01,dcpaix21798723,dcppwr21175793,10.141.65.186,115,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,GPF
dcp,legpgn01,dcpaix21798795,dcppwr21175812,10.141.65.217,263,149,GPB GPB,F27,SCS84 DVEBMGS61,SMDA82,lincigpb6100 lincigpb6100,lincigpb6100,BLANK
dcp,legpgn01,dcpaix21828113,dcppwr21175793,10.141.65.193,19,149,BLANK,H46,BLANK,SMDA71,BLANK,linjdpp13000c4,PP1
dcp,legpgn01,dcpaix21830077,dcppwr21175802,10.141.65.191,53,149,PP1,F77 PP1,SCS31,SMDA78 JC30,linjipp13000,linjipp13000 linjipp13000,BLANK
dcp,legpgn01,dcpaix21873496,dcppwr21656281,10.141.65.219,49,149,GPU,F31,DVEBMGS66,SMDA94,lincigpu6600,lincigpu6600,BLANK
dcp,legpgn01,dcpaix21874351,dcppwr21656281,10.141.65.228,44,149,GPL,GPL E98,BLANK,J23 SMDA58,BLANK,linjigpl2300 linjigpl2300,BLANK
dcp,legpgn01,dcpaix21874445,dcppwr21656281,10.141.65.230,80,149,GPL,GPL E97,SCS21,JC22 SMDA88,linjigpl2200,linjigpl2200 linjigpl2200,BLANK
dcp,legpgn01,dcpaix21875632,dcppwr21175793,10.141.65.139,26,149,BLANK,H37,BLANK,SMDA90,BLANK,lindbgpu6600c4,GPU
dcp,legpgn01,dcpaix21876762,dcppwr21175793,10.141.65.141,37,149,BLANK,H34,BLANK,SMDA86,BLANK,linjdgpl2200c4,GPL
dcp,legpgn01,dcpaix21876782,dcppwr21175793,10.141.65.215,244,149,BLANK,H28,BLANK,SMDA28,BLANK,lindbp012000c4,P01
dcp,legpgn01,dcpaix21879962,dcppwr21175815,10.141.65.208,44,149,GPL,GPL E99,BLANK,J24 SMDA68,BLANK,linjigpl2400 linjigpl2400,BLANK
dcp,legpgn01,dcpaix21879970,dcppwr21175815,10.141.65.210,44,149,GPL,GPL E89,BLANK,J25 SMDA78,BLANK,linjigpl2500 linjigpl2500,BLANK
dcp,legpgn01,dcpaix21880014,dcppwr21402621,10.141.65.235,127,149,P01,F24,DVEBMGS20,SMDA88,lincip012000,lincip012000,BLANK
dcp,legpgn01,dcpaix21880047,dcppwr21402621,10.141.65.237,55,149,P01,F80,BLANK,SMDA81,BLANK,linapp012100,BLANK
dcp,legpgn01,dcpaix21880143,dcppwr21402621,10.141.65.239,55,149,P01,F81,BLANK,SMDA31,BLANK,linapp012200,BLANK
dcp,legpgn01,dcpaix21880286,dcppwr21788375,10.141.65.243,55,149,P01,F82,BLANK,SMDA56,BLANK,linapp012300,BLANK
dcp,legpgn01,dcpaix21880301,dcppwr21788375,10.141.65.245,55,149,P01,F99,BLANK,SMDA65,BLANK,linapp012400,BLANK
dcp,legpgn01,dcpaix21912035,dcppwr21897089,10.141.65.201,980,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legpgn01,dcpaix21912308,dcppwr21656281,10.141.66.13,292,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legpgn01,dcpaix21912379,dcppwr21656281,10.141.66.16,175,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legpgn01,dcpaix21912387,dcppwr21175821,10.141.66.20,292,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legpgn01,dcpaix21912390,dcppwr21137192,10.141.66.23,292,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
